year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,GEOID,ALAND
2018,Alabama,AL,1,63,41,US House,1,gen,NA,FALSE,Robert Kennedy Jr.,democrat,FALSE,total,89226,242617,FALSE,20200424,101,15713197908
2018,Alabama,AL,1,63,41,US House,1,gen,NA,FALSE,Bradley Byrne,republican,FALSE,total,153228,242617,FALSE,20200424,101,15713197908
2018,Alabama,AL,1,63,41,US House,1,gen,NA,FALSE,NA,NA,TRUE,total,163,242617,FALSE,20200424,101,15713197908
2018,Alabama,AL,1,63,41,US House,2,gen,NA,FALSE,Martha Roby,republican,FALSE,total,138879,226230,FALSE,20200424,102,26269902298
2018,Alabama,AL,1,63,41,US House,2,gen,NA,FALSE,Tabitha Isner,democrat,FALSE,total,86931,226230,FALSE,20200424,102,26269902298
2018,Alabama,AL,1,63,41,US House,2,gen,NA,FALSE,NA,NA,TRUE,total,420,226230,FALSE,20200424,102,26269902298
2018,Alabama,AL,1,63,41,US House,3,gen,NA,FALSE,Mike Rogers,republican,FALSE,total,147770,231915,FALSE,20200424,103,19537640555
2018,Alabama,AL,1,63,41,US House,3,gen,NA,FALSE,Mallory Hagan,democrat,FALSE,total,83996,231915,FALSE,20200424,103,19537640555
2018,Alabama,AL,1,63,41,US House,3,gen,NA,FALSE,NA,NA,TRUE,total,149,231915,FALSE,20200424,103,19537640555
2018,Alabama,AL,1,63,41,US House,4,gen,NA,FALSE,Robert Aderholt,republican,FALSE,total,184255,230969,FALSE,20200424,104,23022590138
2018,Alabama,AL,1,63,41,US House,4,gen,NA,FALSE,Lee Auman,democrat,FALSE,total,46492,230969,FALSE,20200424,104,23022590138
2018,Alabama,AL,1,63,41,US House,4,gen,NA,FALSE,NA,NA,TRUE,total,222,230969,FALSE,20200424,104,23022590138
2018,Alabama,AL,1,63,41,US House,5,gen,NA,FALSE,Mo Brooks,republican,FALSE,total,159063,260673,FALSE,20200424,105,9525492193
2018,Alabama,AL,1,63,41,US House,5,gen,NA,FALSE,Peter Joffrion,democrat,FALSE,total,101388,260673,FALSE,20200424,105,9525492193
2018,Alabama,AL,1,63,41,US House,5,gen,NA,FALSE,NA,NA,TRUE,total,222,260673,FALSE,20200424,105,9525492193
2018,Alabama,AL,1,63,41,US House,6,gen,NA,FALSE,Gary Palmer,republican,FALSE,total,192542,278328,FALSE,20200424,106,10803396962
2018,Alabama,AL,1,63,41,US House,6,gen,NA,FALSE,Danner Kline,democrat,FALSE,total,85644,278328,FALSE,20200424,106,10803396962
2018,Alabama,AL,1,63,41,US House,6,gen,NA,FALSE,NA,NA,TRUE,total,142,278328,FALSE,20200424,106,10803396962
2018,Alabama,AL,1,63,41,US House,7,gen,NA,FALSE,Terri Sewell,democrat,FALSE,total,185010,189163,FALSE,20200424,107,26301828529
2018,Alabama,AL,1,63,41,US House,7,gen,NA,FALSE,NA,NA,TRUE,total,4153,189163,FALSE,20200424,107,26301828529
2018,Alaska,AK,2,94,81,US House,0,gen,NA,FALSE,Alyse S. Galvin,democrat,FALSE,total,131199,282166,FALSE,20200424,200,1.47884E+12
2018,Alaska,AK,2,94,81,US House,0,gen,NA,FALSE,Don Young,republican,FALSE,total,149779,282166,FALSE,20200424,200,1.47884E+12
2018,Alaska,AK,2,94,81,US House,0,gen,NA,FALSE,NA,NA,TRUE,total,1188,282166,FALSE,20200424,200,1.47884E+12
2018,Arizona,AZ,4,86,61,US House,1,gen,NA,FALSE,Wendy Rogers,republican,FALSE,total,122784,266089,FALSE,20200424,401,1.42546E+11
2018,Arizona,AZ,4,86,61,US House,1,gen,NA,FALSE,Tom O'Halleran,democrat,FALSE,total,143240,266089,FALSE,20200424,401,1.42546E+11
2018,Arizona,AZ,4,86,61,US House,1,gen,NA,FALSE,NA,NA,TRUE,total,65,266089,FALSE,20200424,401,1.42546E+11
2018,Arizona,AZ,4,86,61,US House,2,gen,NA,FALSE,Lea Marquez Peterson,republican,FALSE,total,133083,294152,FALSE,20200424,402,20298527958
2018,Arizona,AZ,4,86,61,US House,2,gen,NA,FALSE,Ann Kirkpatrick,democrat,FALSE,total,161000,294152,FALSE,20200424,402,20298527958
2018,Arizona,AZ,4,86,61,US House,2,gen,NA,FALSE,NA,NA,TRUE,total,69,294152,FALSE,20200424,402,20298527958
2018,Arizona,AZ,4,86,61,US House,3,gen,NA,FALSE,"Nicolas """"Nick"""" Pierson",republican,FALSE,total,64868,179518,FALSE,20200424,403,40632657178
2018,Arizona,AZ,4,86,61,US House,3,gen,NA,FALSE,Raul Grijalva,democrat,FALSE,total,114650,179518,FALSE,20200424,403,40632657178
2018,Arizona,AZ,4,86,61,US House,4,gen,NA,FALSE,Paul Gosar,republican,FALSE,total,188842,277035,FALSE,20200424,404,85987711649
2018,Arizona,AZ,4,86,61,US House,4,gen,NA,FALSE,David Brill,democrat,FALSE,total,84521,277035,FALSE,20200424,404,85987711649
2018,Arizona,AZ,4,86,61,US House,4,gen,NA,FALSE,Haryaksha Gregor Knauer,green,FALSE,total,3672,277035,FALSE,20200424,404,85987711649
2018,Arizona,AZ,4,86,61,US House,5,gen,NA,FALSE,Andy Biggs,republican,FALSE,total,186037,313064,FALSE,20200424,405,760073450
2018,Arizona,AZ,4,86,61,US House,5,gen,NA,FALSE,Joan Greene,democrat,FALSE,total,127027,313064,FALSE,20200424,405,760073450
2018,Arizona,AZ,4,86,61,US House,6,gen,NA,FALSE,David Schweikert,republican,FALSE,total,173140,313699,FALSE,20200424,406,1618660740
2018,Arizona,AZ,4,86,61,US House,6,gen,NA,FALSE,Anita Malik,democrat,FALSE,total,140559,313699,FALSE,20200424,406,1618660740
2018,Arizona,AZ,4,86,61,US House,7,gen,NA,FALSE,Ruben Gallego,democrat,FALSE,total,113044,132051,FALSE,20200424,407,530107625
2018,Arizona,AZ,4,86,61,US House,7,gen,NA,FALSE,Gary Swing,green,FALSE,total,18706,132051,FALSE,20200424,407,530107625
2018,Arizona,AZ,4,86,61,US House,7,gen,NA,FALSE,NA,NA,TRUE,total,301,132051,FALSE,20200424,407,530107625
2018,Arizona,AZ,4,86,61,US House,8,gen,NA,FALSE,Debbie Lesko,republican,FALSE,total,168835,304417,FALSE,20200424,408,1398129833
2018,Arizona,AZ,4,86,61,US House,8,gen,NA,FALSE,Hiral Tipirneni,democrat,FALSE,total,135569,304417,FALSE,20200424,408,1398129833
2018,Arizona,AZ,4,86,61,US House,8,gen,NA,FALSE,Steven Hummel,NA,TRUE,total,13,304417,FALSE,20200424,408,1398129833
2018,Arizona,AZ,4,86,61,US House,9,gen,NA,FALSE,Stephen L Ferrara,republican,FALSE,total,101662,261245,FALSE,20200424,409,426737344
2018,Arizona,AZ,4,86,61,US House,9,gen,NA,FALSE,Greg Stanton,democrat,FALSE,total,159583,261245,FALSE,20200424,409,426737344
2018,Arkansas,AR,5,71,42,US House,1,gen,NA,FALSE,Rick Crawford,republican,FALSE,total,138757,201245,FALSE,20200424,501,50035558911
2018,Arkansas,AR,5,71,42,US House,1,gen,NA,FALSE,Chintan Desai,democrat,FALSE,total,57907,201245,FALSE,20200424,501,50035558911
2018,Arkansas,AR,5,71,42,US House,1,gen,NA,FALSE,Elvis Presley,libertarian,FALSE,total,4581,201245,FALSE,20200424,501,50035558911
2018,Arkansas,AR,5,71,42,US House,2,gen,NA,FALSE,French Hill,republican,FALSE,total,132125,253453,FALSE,20200424,502,12895640577
2018,Arkansas,AR,5,71,42,US House,2,gen,NA,FALSE,Joe Ryne Swafford,libertarian,FALSE,total,5193,253453,FALSE,20200424,502,12895640577
2018,Arkansas,AR,5,71,42,US House,2,gen,NA,FALSE,Clarke Tucker,democrat,FALSE,total,116135,253453,FALSE,20200424,502,12895640577
2018,Arkansas,AR,5,71,42,US House,3,gen,NA,FALSE,Michael J. Kalagias,libertarian,FALSE,total,5899,229708,FALSE,20200424,503,13982564687
2018,Arkansas,AR,5,71,42,US House,3,gen,NA,FALSE,Josh Mahony,democrat,FALSE,total,74952,229708,FALSE,20200424,503,13982564687
2018,Arkansas,AR,5,71,42,US House,3,gen,NA,FALSE,Steve Womack,republican,FALSE,total,148717,229708,FALSE,20200424,503,13982564687
2018,Arkansas,AR,5,71,42,US House,3,gen,NA,FALSE,NA,NA,TRUE,total,140,229708,FALSE,20200424,503,13982564687
2018,Arkansas,AR,5,71,42,US House,4,gen,NA,FALSE,Tom Canada,libertarian,FALSE,total,3952,204892,FALSE,20200424,504,57855108552
2018,Arkansas,AR,5,71,42,US House,4,gen,NA,FALSE,Hayden Catherine Shamel,democrat,FALSE,total,63984,204892,FALSE,20200424,504,57855108552
2018,Arkansas,AR,5,71,42,US House,4,gen,NA,FALSE,Bruce Westerman,republican,FALSE,total,136740,204892,FALSE,20200424,504,57855108552
2018,Arkansas,AR,5,71,42,US House,4,gen,NA,FALSE,NA,NA,TRUE,total,216,204892,FALSE,20200424,504,57855108552
2018,California,CA,6,93,71,US House,1,gen,NA,FALSE,Audrey Denney,democrat,FALSE,total,131548,291594,FALSE,20200424,601,72746795133
2018,California,CA,6,93,71,US House,1,gen,NA,FALSE,Doug La Malfa,republican,FALSE,total,160046,291594,FALSE,20200424,601,72746795133
2018,California,CA,6,93,71,US House,2,gen,NA,FALSE,Dale K. Mensing,republican,FALSE,total,72576,315657,FALSE,20200424,602,33546725691
2018,California,CA,6,93,71,US House,2,gen,NA,FALSE,Jared Huffman,democrat,FALSE,total,243081,315657,FALSE,20200424,602,33546725691
2018,California,CA,6,93,71,US House,3,gen,NA,FALSE,Charlie Schaupp,republican,FALSE,total,97376,232251,FALSE,20200424,603,16017117073
2018,California,CA,6,93,71,US House,3,gen,NA,FALSE,John Garamendi,democrat,FALSE,total,134875,232251,FALSE,20200424,603,16017117073
2018,California,CA,6,93,71,US House,4,gen,NA,FALSE,Jessica Morse,democrat,FALSE,total,156253,340654,FALSE,20200424,604,33247135324
2018,California,CA,6,93,71,US House,4,gen,NA,FALSE,Tom McClintock,republican,FALSE,total,184401,340654,FALSE,20200424,604,33247135324
2018,California,CA,6,93,71,US House,5,gen,NA,FALSE,Anthony Mills,no party preference,FALSE,total,55158,261018,FALSE,20200424,605,4482417000
2018,California,CA,6,93,71,US House,5,gen,NA,FALSE,Mike Thompson,democrat,FALSE,total,205860,261018,FALSE,20200424,605,4482417000
2018,California,CA,6,93,71,US House,6,gen,NA,FALSE,Doris Matsui,democrat,FALSE,total,162411,201939,FALSE,20200424,606,453544934
2018,California,CA,6,93,71,US House,6,gen,NA,FALSE,Jrmar Jefferson,democrat,FALSE,total,39528,201939,FALSE,20200424,606,453544934
2018,California,CA,6,93,71,US House,7,gen,NA,FALSE,Ami Bera,democrat,FALSE,total,155016,281617,FALSE,20200424,607,1421720505
2018,California,CA,6,93,71,US House,7,gen,NA,FALSE,Andrew Grant,republican,FALSE,total,126601,281617,FALSE,20200424,607,1421720505
2018,California,CA,6,93,71,US House,8,gen,NA,FALSE,Paul Cook,republican,FALSE,total,102415,170785,FALSE,20200424,608,85132866565
2018,California,CA,6,93,71,US House,8,gen,NA,FALSE,Tim Donnelly,republican,FALSE,total,68370,170785,FALSE,20200424,608,85132866565
2018,California,CA,6,93,71,US House,9,gen,NA,FALSE,Jerry McNerney,democrat,FALSE,total,113414,200763,FALSE,20200424,609,3239709844
2018,California,CA,6,93,71,US House,9,gen,NA,FALSE,Marla Livengood,republican,FALSE,total,87349,200763,FALSE,20200424,609,3239709844
2018,California,CA,6,93,71,US House,10,gen,NA,FALSE,Jeff Denham,republican,FALSE,total,105955,221900,FALSE,20200424,610,4714787480
2018,California,CA,6,93,71,US House,10,gen,NA,FALSE,Josh Harder,democrat,FALSE,total,115945,221900,FALSE,20200424,610,4714787480
2018,California,CA,6,93,71,US House,11,gen,NA,FALSE,John Fitzgerald,republican,FALSE,total,71312,275681,FALSE,20200424,611,1268371789
2018,California,CA,6,93,71,US House,11,gen,NA,FALSE,Mark DeSaulnier,democrat,FALSE,total,204369,275681,FALSE,20200424,611,1268371789
