,GEOID
0,2707
1,2702
2,2706
3,2708
4,1701
5,1718
6,1707
7,1702
8,3101
9,0636
10,0616
11,0646
12,0637
13,0633
14,0615
15,1802
16,1809
17,1806
18,1808
19,0653
20,0647
21,0631
22,0603
23,0621
24,0648
25,0610
26,0501
27,0503
28,0504
29,0502
30,1801
31,0634
32,0652
33,0630
34,0618
35,0620
36,0642
37,0625
38,2204
39,2202
40,2206
41,1901
42,0632
43,0643
44,0635
45,0613
46,0626
47,0644
48,0619
49,1904
50,1902
51,2701
52,2703
53,2704
54,2705
55,0649
56,0605
57,0624
58,3103
59,3102
60,0629
61,0607
62,0606
63,0639
64,1714
65,4701
66,4703
67,4705
68,4704
69,0611
70,4101
71,4103
72,4105
73,2301
74,2302
75,4707
76,4702
77,1705
78,1716
79,1713
81,0650
82,0623
83,0608
84,1717
85,1706
86,1703
87,1710
88,1704
89,1303
90,1310
91,1304
92,1305
93,1313
94,1309
95,0651
96,0628
97,0601
98,1307
99,1302
100,1306
101,1314
102,2102
103,2106
104,2201
105,2203
106,2205
107,1803
108,1805
109,1804
110,1807
111,1301
112,1711
113,1709
114,1715
115,4708
116,0640
117,0612
118,0645
119,1903
120,1311
121,1312
122,1308
123,0604
124,0622
125,0609
126,4709
127,4706
128,1601
129,1602
130,0641
131,0627
132,0617
133,0614
134,4104
135,4102
136,2101
137,2103
138,2105
139,2104
140,1712
141,1708
142,0602
143,0638
144,0101
145,0103
146,0105
147,0104
148,0107
149,0102
150,0106
151,1213
152,1226
153,1222
154,1209
155,1219
156,2901
157,2903
158,2905
159,2904
160,2907
161,2902
162,2906
163,2908
164,2801
165,2803
166,2804
167,2802
168,3401
169,3403
170,3410
171,3404
172,3405
173,3407
174,3402
175,3409
176,3411
177,3406
178,3412
179,3201
180,3203
181,3204
182,3202
183,4501
184,4503
185,4504
186,4505
187,4507
188,4502
189,4506
190,5301
191,5303
192,3800
193,5600
195,3901
196,3907
197,3902
198,3914
199,3906
200,3903
201,3910
202,3904
203,3905
204,3916
205,3913
206,3915
207,3911
208,3909
209,3908
210,3912
211,5101
212,5103
213,5110
214,5105
215,5104
216,5107
217,5102
218,5111
219,5109
220,1501
221,1502
222,2601
223,2607
224,2602
225,2606
226,2614
227,2603
228,2610
229,2605
230,2604
231,2613
233,2611
234,2609
235,2612
236,2608
237,5106
238,5108
239,5310
240,5305
241,5304
242,5307
243,5302
244,5309
245,5306
246,5308
247,3408
248,0801
249,0803
250,0805
251,0804
252,0807
253,0802
254,0806
255,2401
256,2403
257,2404
258,2405
259,2407
260,2402
261,2406
262,2408
264,5000
265,2001
266,2003
267,2004
268,2002
269,4600
271,2501
272,2503
273,2505
274,2504
275,2507
276,2502
277,2509
278,2506
279,2508
280,5401
281,5403
282,5402
284,0200
286,5501
287,5503
288,5504
289,5505
290,5507
291,5502
292,5506
293,5508
294,3701
295,3707
296,3702
297,3706
298,3703
299,3710
300,3704
301,3705
302,3713
303,3711
304,3709
305,3708
306,3712
307,3301
308,3302
310,4001
311,4003
312,4005
313,4004
314,4002
315,1000
316,4201
317,4218
318,4207
319,4202
320,4217
321,4214
322,4206
323,4203
324,4210
325,4204
326,4205
327,4216
328,4213
329,4211
330,4209
331,4215
332,4212
333,4208
334,1201
335,1207
336,1227
337,1217
338,1206
339,1214
340,1205
341,1224
342,1216
343,1211
344,1215
345,1223
346,1208
347,1212
348,1218
349,1202
350,1220
351,1225
352,1221
353,1203
354,1210
355,1204
356,0401
357,0403
358,0405
359,0404
360,0407
361,0402
362,0409
363,0406
364,0408
365,4828
366,4801
367,4829
368,4807
369,4827
370,4806
371,4817
372,4814
373,4836
374,4805
375,4816
376,4824
377,4833
378,4811
379,4815
380,4823
381,4812
382,4808
383,4834
384,4830
385,4818
386,4802
387,4820
388,4831
389,4825
390,4832
391,4821
392,4803
393,4810
394,4804
395,4835
396,4813
397,4826
398,4822
399,4809
400,4819
401,4401
402,4402
403,3501
404,3503
405,3502
406,4901
407,4903
408,4904
409,4902
410,0901
411,0903
412,0904
413,0905
414,0902
416,3000
417,3601
418,3607
419,3627
420,3617
421,3614
422,3606
423,3605
424,3624
425,3616
426,3611
427,3615
428,3623
429,3608
430,3612
431,3618
432,3602
433,3620
434,3625
435,3603
436,3621
437,3610
438,3604
439,3613
440,3626
441,3622
442,3609
443,3619
